Numéro compte;Numéro facture;Date;Niveau de charge;Type d'accès;Numéro accès;Libellé ligne facture;Rubrique facture;Indicateur abo principal/option;Type de charge;Type de trafic;Unité;Quantité (Acte);Nombre de lignes;Quantité (Volume (Mo));Quantité (Durée (hh:mm:ss));Quantité (Volume (Ko));Quantité (Hors conso);Montant (€ HT);Montant TVA;Montant (€ TTC)
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;remise communications fixes métropole 6,6% - compensation augmentation 2023;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-0,22;-0,044000000000000004;-0,264
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;remise communications mobiles métropole 6,6% - compensation augmentation 2023;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-0,17;-0,034;-0,20400000000000001
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;remise sur Accès de Base 3,89% - compensation augmentation 2022;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,03;-0,606;-3,6359999999999997
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;remise sur Accès de Base 5% - compensation augmentation 2024;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,54;-0,708;-4,248
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;remise sur Accès de Base 5,26% - compensation augmentation 2023;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,93;-0,786;-4,716
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;remise sur Accès de Base 7,407% - compensation augmentation 2025;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-4,98;-0,9960000000000001;-5,976
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;remise sur accès de base 28%;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-30,24;-6,047999999999999;-36,288
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;remise sur communications fixes métropole 78%;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-11,66;-2,332;-13,991999999999999
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;remise sur communications mobiles métropole 72%;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-6,65;-1,33;-7,98
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;service et appel gratuits;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;733,0;0,0;0,0;0,0;0,0;0,0
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;0546982410;services spéciaux durée depuis un fixe;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;21,0;0,0;0,0;0,01;0,002;0,012
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;Canaux contrat Pro Numéris accès groupé;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;108,0;21,6;129,6
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;accès aux services à valeur ajoutée;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;12746,0;0,0;0,0;9,54;1,908;11,447999999999999
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;compléments de services;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;62,0;0,0;0,0;0,0;0,0;0,0
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;fixes France métropolitaine;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;25783,0;0,0;0,0;19,32;3,864;23,184
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;mobiles France métropolitaine (Bouygues);consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;1561,0;0,0;0,0;2,33;0,466;2,796
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;mobiles France métropolitaine (Free);consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;877,0;0,0;0,0;1,32;0,264;1,584
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;mobiles France métropolitaine (Orange);consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;12710,0;0,0;0,0;19,04;3,8079999999999994;22,848
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;mobiles France métropolitaine (SFR);consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;4234,0;0,0;0,0;6,33;1,266;7,596
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;remise communications fixes métropole 6,6% - compensation augmentation 2023;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-0,42;-0,084;-0,504
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;remise communications mobiles métropole 6,6% - compensation augmentation 2023;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-0,54;-0,10800000000000001;-0,648
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;remise sur Accès de Base 3,89% - compensation augmentation 2022;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,02;-0,604;-3,6239999999999997
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;remise sur Accès de Base 5% - compensation augmentation 2024;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,54;-0,708;-4,248
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;remise sur Accès de Base 5,26% - compensation augmentation 2023;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,93;-0,786;-4,716
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;remise sur Accès de Base 7,407% - compensation augmentation 2025;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-4,98;-0,9960000000000001;-5,976
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;remise sur accès de base 28%;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-30,24;-6,047999999999999;-36,288
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;remise sur communications fixes métropole 78%;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-22,51;-4,502000000000001;-27,012
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;remise sur communications mobiles métropole 72%;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-20,91;-4,1819999999999995;-25,092
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;service et appel gratuits;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;436,0;0,0;0,0;0,0;0,0;0,0
002380160;302997761;03/09/2025;Numéro accès réseau;ligne Numéris accès de base;054698C025;services spéciaux durée depuis un fixe;consommations (hors forfaits);Non;Consommations;communications voix réseau général;Durée (hh:mm:ss);0,0;1,0;0,0;952,0;0,0;0,0;1,45;0,29;1,74
002380160;302997761;03/09/2025;Numéro compte;;;tarif Corporate Série 2;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;;0,0;0,0;0,0;2,0;0,0;0,0;0,0
2774500;12509013523;02/09/2025;Numéro accès réseau;Autre;0024824458;Business Internet 200 Mbits/s   zone rouge;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;618,0;123,6;741,6
3899100;12509020080;02/09/2025;Numéro accès réseau;Autre;0025174125;Business Internet FibreMax   zone rouge;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;150,0;30,0;180,0
3899102;12509020082;02/09/2025;Numéro accès réseau;Autre;0023126440;Création, gestion d'1 domaine .fr;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;7,62;1,524;9,144
3899102;12509020082;02/09/2025;Numéro accès réseau;Autre;0025344603;Business Internet 200 Mbits/s   zone 1;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;618,0;123,6;741,6
3899102;12509020082;02/09/2025;Numéro accès réseau;Autre;0025376573;Business Internet FibreMax   zone 1;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;104,0;20,8;124,8
